CD_setor;V01006;V01007;V01008;V01009;V01010;V01011;V01012;V01013;V01014;V01015;V01016;V01017;V01018;V01019;V01020;V01021;V01022;V01023;V01024;V01025;V01026;V01027;V01028;V01029;V01030;V01031;V01032;V01033;V01034;V01035;V01036;V01037;V01038;V01039;V01040;V01041
352440205000377;597;295;302;13;17;21;22;14;16;41;44;40;32;35;6;8;9;20;19;18;36;57;43;35;51;19;25;30;42;33;34;77;101;83;67;86
352440205000378;290;136;154;4;6;9;9;9;3;19;22;21;15;19;3;7;4;6;7;11;17;22;25;24;28;7;13;13;15;16;14;36;44;46;39;47
352440205000379;579;274;305;8;17;13;21;15;19;33;51;37;27;33;8;13;18;24;15;18;29;47;48;42;43;16;30;31;45;30;37;62;98;85;69;76
352440205000380;392;180;212;3;7;8;12;9;15;29;19;36;24;18;6;X;8;12;9;17;30;25;47;27;29;9;9;16;24;18;32;59;44;83;51;47
352440205000381;554;265;289;22;14;24;18;14;11;57;50;31;13;11;18;24;20;19;14;20;59;58;25;16;16;40;38;44;37;28;31;116;108;56;29;27
352440205000382;638;309;329;15;30;27;13;19;19;61;70;30;19;6;27;19;24;23;22;26;79;59;23;20;7;42;49;51;36;41;45;140;129;53;39;13
352440205000383;582;288;294;28;22;25;20;15;15;64;49;29;13;8;18;19;21;20;19;17;75;48;36;13;8;46;41;46;40;34;32;139;97;65;26;16
352440205000384;436;223;213;25;14;20;13;11;16;48;40;24;7;5;13;13;20;11;9;21;51;42;18;8;7;38;27;40;24;20;37;99;82;42;15;12
352440205000385;483;231;252;13;25;16;18;9;12;57;49;17;10;5;16;19;20;20;15;24;60;47;16;9;6;29;44;36;38;24;36;117;96;33;19;11
352440205000386;612;310;302;17;12;14;19;18;17;45;53;37;45;33;16;19;13;9;11;20;47;47;51;39;30;33;31;27;28;29;37;92;100;88;84;63
352440205000387;382;199;183;14;11;11;3;17;34;48;27;15;13;6;8;7;4;9;16;32;41;26;17;10;13;22;18;15;12;33;66;89;53;32;23;19
352440205000388;429;196;233;5;6;7;14;11;14;17;23;36;41;22;3;11;13;21;9;11;19;36;51;40;19;8;17;20;35;20;25;36;59;87;81;41
352440205000389;364;180;184;16;11;15;8;10;10;37;25;29;15;4;14;9;9;11;7;15;37;38;26;10;8;30;20;24;19;17;25;74;63;55;25;12
352440205000390;443;222;221;19;25;17;16;7;8;44;56;19;7;4;10;24;14;16;8;15;53;53;15;7;6;29;49;31;32;15;23;97;109;34;14;10
352440205000391;373;177;196;18;19;16;7;5;6;32;40;20;10;4;9;20;18;9;11;7;43;44;15;14;6;27;39;34;16;16;13;75;84;35;24;10
352440205000392;372;170;202;10;17;12;13;8;8;25;46;19;9;3;13;20;19;10;8;7;36;51;19;16;3;23;37;31;23;16;15;61;97;38;25;6
352440205000393;380;162;218;4;9;11;12;7;10;29;27;22;14;17;8;10;18;12;12;9;33;31;35;20;30;12;19;29;24;19;19;62;58;57;34;47
352440205000394;323;128;195;6;4;6;10;4;13;26;19;18;13;9;8;3;11;7;11;17;32;27;24;28;27;14;7;17;17;15;30;58;46;42;41;36
352440205000395;246;107;139;5;11;6;4;5;14;11;13;11;15;12;4;X;9;9;9;5;15;17;17;29;23;9;13;15;13;14;19;26;30;28;44;35
352440205000396;401;190;211;12;10;5;13;12;12;26;23;22;28;27;X;11;9;8;15;13;24;33;29;38;29;14;21;14;21;27;25;50;56;51;66;56
352440205000397;581;268;313;15;11;17;19;13;20;38;39;44;29;23;9;17;25;19;22;25;39;55;42;28;32;24;28;42;38;35;45;77;94;86;57;55
352440205000398;382;180;202;8;9;8;13;14;17;34;19;29;19;10;17;9;5;9;16;15;34;31;28;17;21;25;18;13;22;30;32;68;50;57;36;31
352440205000399;414;191;223;14;15;9;14;9;20;33;32;17;18;10;14;5;15;9;24;13;40;36;32;15;20;28;20;24;23;33;33;73;68;49;33;30
352440205000400;389;187;202;9;8;12;16;18;16;17;28;39;18;6;4;10;11;8;18;14;21;36;41;25;14;13;18;23;24;36;30;38;64;80;43;20
